
2024/08/06 (14:33:01) | ===> btop++ v.1.3.0
2024/08/06 (14:33:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (15:09:27) | ===> btop++ v.1.3.0
2024/08/06 (15:09:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (17:46:43) | ===> btop++ v.1.3.0
2024/08/06 (17:46:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (10:17:43) | ===> btop++ v.1.3.0
2024/08/07 (10:17:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (15:40:20) | ===> btop++ v.1.3.0
2024/08/07 (15:40:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (15:51:43) | ===> btop++ v.1.3.0
2024/08/07 (15:51:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (16:14:20) | ===> btop++ v.1.3.0
2024/08/07 (16:14:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/08 (12:07:32) | ===> btop++ v.1.3.0
2024/08/08 (12:07:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/08 (15:04:56) | ===> btop++ v.1.3.0
2024/08/08 (15:04:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/08 (18:11:19) | ===> btop++ v.1.3.0
2024/08/08 (18:11:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/08 (18:11:28) | ===> btop++ v.1.3.0
2024/08/08 (18:11:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/09 (12:21:57) | ===> btop++ v.1.3.0
2024/08/09 (12:21:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/20 (10:17:28) | ===> btop++ v.1.3.2
2024/08/20 (10:17:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/20 (15:37:39) | ===> btop++ v.1.3.2
2024/08/20 (15:37:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/20 (16:08:11) | ===> btop++ v.1.3.2
2024/08/20 (16:08:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (21:49:55) | ===> btop++ v.1.3.2
2024/08/23 (21:49:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (19:42:18) | ===> btop++ v.1.3.2
2024/08/26 (19:42:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/12 (01:15:58) | ===> btop++ v.1.3.2
2024/09/12 (01:15:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/05 (23:18:11) | ===> btop++ v.1.3.2
2024/10/05 (23:18:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/06 (00:14:15) | ===> btop++ v.1.3.2
2024/10/06 (00:14:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/06 (12:05:45) | ===> btop++ v.1.3.2
2024/10/06 (12:05:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/28 (17:11:45) | ===> btop++ v.1.3.2
2024/12/28 (17:11:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (17:24:55) | ===> btop++ v.1.4.0
2024/12/30 (17:24:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (17:57:29) | ===> btop++ v.1.4.0
2024/12/30 (17:57:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (23:16:48) | ===> btop++ v.1.4.0
2025/02/27 (23:16:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (23:51:25) | ===> btop++ v.1.4.0
2025/04/16 (23:51:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (21:50:50) | ===> btop++ v.1.4.0
2025/04/29 (21:50:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (21:51:22) | ===> btop++ v.1.4.0
2025/04/29 (21:51:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (22:18:53) | ===> btop++ v.1.4.0
2025/04/29 (22:18:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (22:24:21) | ===> btop++ v.1.4.0
2025/04/29 (22:24:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (23:04:43) | ===> btop++ v.1.4.0
2025/04/29 (23:04:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (23:08:13) | ===> btop++ v.1.4.0
2025/04/29 (23:08:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (23:08:34) | ===> btop++ v.1.4.0
2025/04/29 (23:08:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (23:28:02) | ===> btop++ v.1.4.0
2025/04/29 (23:28:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (23:33:40) | ===> btop++ v.1.4.0
2025/04/29 (23:33:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/03 (21:19:00) | ===> btop++ v.1.4.0
2025/05/03 (21:19:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/03 (21:20:11) | ===> btop++ v.1.4.0
2025/05/03 (21:20:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/03 (21:21:02) | ===> btop++ v.1.4.0
2025/05/03 (21:21:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
